Property_ID,Square_Footage,Bedrooms,Bathrooms,Property_Age_Years,Lot_Size_SqFt,Garage_Cars,Location_Tier,Distance_to_City_Miles,Renovation_Score,Condition,Quarter_Sold,Annual_Tax,Price
PROP-1000,2422,4,3.0,52,8499,1,Suburban Standard,15.1,7,Good,2024-Q2,6294,555655
PROP-1001,2010,3,2.5,10,9354,1,Emerging Tech Corridor,6.5,6,Good,2023-Q3,7165,668534
PROP-1002,2520,4,3.0,34,10112,2,Suburban Prime,10.5,5,Good,2023-Q3,9359,837523
PROP-1003,3089,5,4.0,36,12019,1,Suburban Prime,17.4,4,Fair,2024-Q1,10736,931799
PROP-1004,1947,3,3.5,41,4667,1,Suburban Prime,14.4,1,Needs Renovation,2024-Q1,6010,516069
PROP-1005,1947,3,3.0,12,6901,2,Suburban Prime,21.9,7,Good,2023-Q1,7572,659504
PROP-1006,3126,4,3.0,35,13230,3,Emerging Tech Corridor,7.0,3,Fair,2023-Q1,10765,953538
PROP-1007,2598,3,3.0,12,13273,2,Suburban Prime,12.4,4,Fair,2024-Q2,9451,839600
PROP-1008,1794,2,2.0,11,4457,2,Suburban Standard,27.7,5,Good,2024-Q1,4677,451537
PROP-1009,2452,5,3.5,36,4493,3,Urban Metro,5.2,3,Fair,2023-Q2,10392,933433
PROP-1010,1798,2,2.0,9,3696,2,Suburban Standard,19.5,5,Good,2023-Q3,4678,412849
PROP-1011,1797,2,2.5,8,5530,2,Exurban,38.9,7,Good,2024-Q2,3498,342488
PROP-1012,2257,3,2.0,51,10359,1,Suburban Standard,25.5,5,Good,2023-Q1,5125,504600
PROP-1013,856,1,1.0,6,1561,1,Suburban Standard,19.7,9,Excellent,2023-Q2,2828,222340
PROP-1014,978,1,1.5,1,3279,1,Exurban,30.2,7,Good,2024-Q1,1980,175472
PROP-1015,1734,3,2.5,53,5062,1,Suburban Standard,25.3,4,Fair,2023-Q4,4261,374839
PROP-1016,1441,1,1.5,22,2850,1,Suburban Prime,15.5,4,Fair,2023-Q1,4537,390259
PROP-1017,2304,4,3.5,38,7674,1,Suburban Prime,10.1,5,Good,2024-Q2,7714,715088
PROP-1018,1509,2,2.0,39,4023,2,Suburban Standard,20.1,6,Good,2023-Q4,3745,345266
PROP-1019,1182,3,2.0,38,3541,1,Suburban Standard,18.6,4,Fair,2023-Q2,3496,271865
PROP-1020,3052,4,3.5,20,12815,2,Suburban Prime,20.3,9,Excellent,2023-Q3,10893,985699
PROP-1021,1953,3,3.0,22,6978,1,Suburban Prime,9.8,6,Good,2023-Q2,7001,632220
PROP-1022,2143,3,2.5,28,4765,2,Exurban,46.9,4,Fair,2023-Q3,3681,346642
PROP-1023,1173,2,2.0,13,5945,0,Urban Metro,3.6,6,Good,2023-Q2,5136,478491
PROP-1024,1746,2,1.5,25,6917,1,Suburban Prime,13.7,4,Fair,2023-Q1,6040,509728
PROP-1025,2172,3,3.0,50,9565,1,Urban Metro,1.8,7,Good,2023-Q1,8281,805781
PROP-1026,1351,2,2.0,4,2795,1,Emerging Tech Corridor,11.3,5,Good,2024-Q2,4736,435160
PROP-1027,2344,3,2.5,54,4594,2,Urban Metro,5.6,1,Needs Renovation,2023-Q4,7998,708084
PROP-1028,1709,3,3.0,30,3189,0,Suburban Standard,18.0,3,Fair,2023-Q2,4535,359507
PROP-1029,1910,4,3.0,24,4664,1,Urban Metro,2.2,7,Good,2023-Q2,8337,774827
PROP-1030,1708,2,2.0,30,5480,1,Suburban Standard,20.9,5,Good,2023-Q4,3532,350382
PROP-1031,3303,4,3.0,49,16454,3,Emerging Tech Corridor,12.2,9,Excellent,2024-Q1,10755,983318
PROP-1032,2091,3,2.5,19,7013,2,Suburban Prime,8.1,2,Needs Renovation,2024-Q2,7267,630064
PROP-1033,1412,3,2.5,43,3935,1,Suburban Prime,16.8,4,Fair,2023-Q2,5019,444834
PROP-1034,2634,3,2.5,54,9773,1,Suburban Prime,16.4,3,Fair,2024-Q2,7606,717808
PROP-1035,1306,3,2.5,16,2847,1,Suburban Prime,12.5,5,Good,2023-Q2,5435,482621
PROP-1036,2235,4,3.0,44,8654,0,Emerging Tech Corridor,9.1,4,Fair,2023-Q2,7435,622287
PROP-1037,826,1,1.5,1,3083,1,Suburban Prime,11.5,3,Fair,2024-Q1,3832,335068
PROP-1038,1236,2,1.5,24,5553,1,Suburban Standard,24.6,6,Good,2023-Q1,3200,281333
PROP-1039,2227,4,2.5,12,11479,1,Urban Metro,4.2,5,Good,2024-Q2,9334,827427
PROP-1040,2580,4,4.0,38,6844,2,Urban Metro,3.7,4,Fair,2023-Q4,10974,968790
PROP-1041,2211,3,3.0,27,7811,1,Suburban Prime,13.5,5,Good,2024-Q2,6960,655415
PROP-1042,2024,3,2.0,41,9897,2,Suburban Standard,16.7,6,Good,2024-Q1,5264,476266
PROP-1043,1904,2,2.0,54,8510,2,Suburban Prime,19.5,3,Fair,2023-Q3,5635,507965
PROP-1044,1138,1,1.0,5,3934,0,Suburban Standard,19.2,4,Fair,2023-Q3,2619,246790
PROP-1045,1632,1,1.5,2,8183,1,Urban Metro,3.5,4,Fair,2024-Q1,6632,573784
PROP-1046,1800,3,2.5,34,3590,2,Urban Metro,3.6,6,Good,2024-Q1,7438,681128
PROP-1047,2787,4,3.0,17,13838,2,Emerging Tech Corridor,9.0,7,Good,2023-Q1,10283,927832
PROP-1048,2323,4,3.0,10,4580,1,Emerging Tech Corridor,7.3,4,Fair,2024-Q2,7574,710088
PROP-1049,954,1,1.0,53,3492,2,Urban Metro,1.6,4,Fair,2024-Q2,3868,335299
PROP-1050,2310,4,3.0,19,11151,2,Suburban Standard,13.6,8,Excellent,2023-Q3,7302,626778
PROP-1051,1849,3,2.5,4,4979,1,Suburban Prime,18.6,10,Excellent,2023-Q4,6981,633000
PROP-1052,1660,1,1.0,18,5653,1,Emerging Tech Corridor,7.0,6,Good,2024-Q2,5961,510638
PROP-1053,2497,4,3.0,21,7248,2,Emerging Tech Corridor,5.5,10,Excellent,2023-Q2,9315,835714
PROP-1054,2770,5,4.5,18,13953,2,Emerging Tech Corridor,12.2,6,Good,2023-Q2,9674,931471
PROP-1055,2705,3,3.0,46,12444,2,Emerging Tech Corridor,6.4,6,Good,2023-Q1,8897,795757
PROP-1056,1554,3,2.5,15,6543,2,Suburban Prime,16.8,4,Fair,2023-Q1,5960,536874
PROP-1057,1899,3,2.5,23,7212,1,Emerging Tech Corridor,8.0,5,Good,2023-Q3,6108,542635
PROP-1058,2315,3,3.0,40,10625,1,Suburban Prime,9.8,3,Fair,2023-Q4,7767,686718
PROP-1059,2734,4,3.5,3,8567,2,Urban Metro,3.1,7,Good,2023-Q4,11563,1050760
PROP-1060,1788,3,2.5,14,5939,0,Suburban Prime,8.2,8,Excellent,2024-Q1,7223,605506
PROP-1061,1979,3,3.0,24,8474,1,Exurban,46.0,6,Good,2023-Q1,3667,329213
PROP-1062,1380,2,2.0,43,4162,0,Emerging Tech Corridor,9.6,4,Fair,2024-Q2,3931,356373
PROP-1063,1322,1,1.0,54,2666,1,Urban Metro,1.7,3,Fair,2023-Q2,4469,379159
PROP-1064,2628,4,3.5,34,5394,2,Suburban Standard,15.8,4,Fair,2024-Q2,6984,623110
PROP-1065,2981,4,3.5,54,6535,3,Emerging Tech Corridor,9.0,4,Fair,2023-Q2,10196,841656
PROP-1066,2053,3,2.5,13,9765,1,Suburban Prime,10.6,6,Good,2023-Q3,7671,690548
PROP-1067,2752,4,3.5,48,9372,2,Suburban Prime,11.8,9,Excellent,2023-Q2,9924,876697
PROP-1068,2335,3,3.0,18,9862,2,Suburban Standard,20.6,1,Needs Renovation,2024-Q2,5881,545216
PROP-1069,1680,3,2.5,37,5268,0,Suburban Prime,19.7,1,Needs Renovation,2024-Q2,5268,447080
PROP-1070,2334,4,3.5,35,6254,1,Urban Metro,3.0,6,Good,2023-Q4,9680,856049
